"","OBJECTID","GlobalID","CreationDate","Creator","Memorial","Is it a memorial?","Diameter at Breast Heigh (DBH)","Common Species Name","Height (ft)","SPECIES","SPECIES_BIN","x","y"
"1",2,"70206b04-daf7-44ca-882a-26a15a17122c","12/15/2023 6:58:25 PM","mfrazier@macalester.edu_MacGIS","Jimm Crowder","Yes",0.9,"Japanese maple",NA,"Japanese maple","Acer palmatum",-93.1691896988689,44.9399144138231
"2",3,"27e58137-b131-4b69-bfe4-645d7e52df32","12/15/2023 6:59:15 PM","mfrazier@macalester.edu_MacGIS",NA,"No",0.8,"Blue beech",NA,"American hornbeam","Carpinus caroliniana",-93.1690787308802,44.9399265424179
"3",4,"936e7fa1-1ed9-48f1-bf05-7a7f4a6f9af4","12/15/2023 7:01:27 PM","mfrazier@macalester.edu_MacGIS",NA,"No",1.8,"Balsam fir",NA,"Balsam fir","Abies balsamea",-93.1687432900717,44.9399559011863
"4",5,"0e5a8bf0-0452-4545-8959-d8552c8541c1","12/15/2023 7:02:47 PM","mfrazier@macalester.edu_MacGIS",NA,"No",2.62,"River birch",NA,"River birch","Betula nigra",-93.168546147596,44.9399869144729
"5",7,"34eae6c7-a2a1-4f4a-ae34-700e06c40b09","12/20/2023 5:08:30 PM","mfrazier@macalester.edu_MacGIS",NA,"No",35.6,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1698328054758,44.9418828924261
"6",8,"8611c519-ed29-417a-abd0-55a562d9a656","12/20/2023 5:09:27 PM","mfrazier@macalester.edu_MacGIS",NA,"No",8.1,"Red maple",NA,"Red maple","Acer rubrum",-93.1698435322586,44.9419379162126
"7",9,"60688b61-9ff7-420d-aefa-8f19ecfb5f91","12/20/2023 5:10:47 PM","mfrazier@macalester.edu_MacGIS",NA,"No",19.87,"Green ash",NA,"Green ash","Fraxinus pennsylvanica",-93.1698585727514,44.941965098081
"8",10,"47aa9bc2-4aa3-48ca-bb56-b3a885630b9d","12/20/2023 5:11:27 PM","mfrazier@macalester.edu_MacGIS",NA,"No",11.8,"Mountain ash",NA,"Mountain ash","Sorbus aucuparia",-93.1696457160465,44.9418525026599
"9",11,"93faac80-d2a2-4523-b7a0-4ff4cb760898","12/20/2023 5:12:16 PM","mfrazier@macalester.edu_MacGIS",NA,"No",9.9,"Eastern white pine",NA,"Eastern white pine","Pinus strobus",-93.1695916581277,44.9419060608446
"10",12,"fc672eb2-d8f7-4e5f-beab-154b026c444f","1/30/2024 9:39:27 PM","msmith18@macalester.edu_MacGIS",NA,"No",28.5,"White spruce",NA,"White spruce","Picea glauca",-93.1703712017582,44.9393662583083
"11",13,"803e6c62-9179-4da1-bbaa-f62876f90de9","2/6/2024 6:15:50 PM","areynol1@macalester.edu_MacGIS",NA,"No",7.4,"White spruce",NA,"White spruce","Picea glauca",-93.1702888936203,44.9393581896685
"12",14,"0a69732d-72e4-4ead-9c18-70b21d639c62","2/6/2024 6:17:54 PM","areynol1@macalester.edu_MacGIS",NA,"No",36.45,"Eastern white pine",NA,"Eastern white pine","Pinus strobus",-93.1701855945491,44.9394432095096
"13",15,"c68169f1-150e-4975-af7c-af4d22d78174","2/6/2024 6:20:54 PM","areynol1@macalester.edu_MacGIS",NA,"No",38.5,"American elm",NA,"American elm","Ulmus americana",-93.1701160909973,44.9394955509689
"14",16,"f9cb67a9-d79b-4c95-9c6b-350e7584f23e","2/6/2024 6:22:29 PM","areynol1@macalester.edu_MacGIS",NA,"No",3.6,"Hackberry",NA,"Hackberry","Celtis occidentalis",-93.1700913936152,44.9394888081473
"15",17,"4a0d7b14-2e5e-406c-bc7b-41046899fa76","2/6/2024 6:25:15 PM","areynol1@macalester.edu_MacGIS",NA,"No",7.1,"Red maple",NA,"Red maple","Acer rubrum",-93.170104140709,44.9394531285358
"16",18,"4d92ff94-0917-42d7-b0cc-977dfb055a39","2/6/2024 6:27:37 PM","areynol1@macalester.edu_MacGIS",NA,"No",11.1,"Red maple",NA,"Red maple","Acer rubrum",-93.1700994236555,44.9393865853747
"17",19,"d95bf72c-08da-422c-837d-b70c32b474f1","2/6/2024 6:28:27 PM","areynol1@macalester.edu_MacGIS",NA,"No",12.5,"Red maple",NA,"Red maple","Acer rubrum",-93.1701053363667,44.9392962361611
"18",20,"095325b4-d230-47d5-ae59-e8e0260c0165","2/6/2024 6:30:14 PM","areynol1@macalester.edu_MacGIS",NA,"No",8.4,"White spruce",NA,"White spruce","Picea glauca",-93.1700980411483,44.9392350411894
"19",21,"e4d56b40-10ac-4432-b0bf-8b93e67110b5","2/6/2024 6:31:11 PM","areynol1@macalester.edu_MacGIS",NA,"No",9.2,"Red maple",NA,"Red maple","Acer rubrum",-93.1700521974244,44.9391868581392
"20",22,"ac98c9e9-b598-4b84-a258-23232eaecc67","2/6/2024 6:32:00 PM","areynol1@macalester.edu_MacGIS",NA,"No",6.9,"White spruce",NA,"White spruce","Picea glauca",-93.1701091658847,44.93915792756
"21",23,"dcc51e50-7cae-4071-9a56-12d5a2b38e1a","2/6/2024 6:32:59 PM","sbarney@macalester.edu_MacGIS",NA,"No",8.2,"White spruce",NA,"White spruce","Picea glauca",-93.1700298114075,44.9391530204816
"22",24,"d138a199-4680-4678-a38e-3d595ac7914f","2/6/2024 6:33:10 PM","areynol1@macalester.edu_MacGIS",NA,"Yes",7.1,"White spruce",NA,"White spruce","Picea glauca",-93.1700396389767,44.9391620296152
"23",25,"e8966f15-b765-48bb-a340-55bde3df9d6a","2/6/2024 6:33:51 PM","sbarney@macalester.edu_MacGIS",NA,"No",7,"White spruce",NA,"White spruce","Picea glauca",-93.1699926193581,44.9391484262553
"24",26,"1f475534-29de-4e30-927b-b178f722c496","2/6/2024 6:34:48 PM","areynol1@macalester.edu_MacGIS",NA,"No",6.75,"White spruce",NA,"White spruce","Picea glauca",-93.1699807903424,44.9391425087642
"25",27,"982b952f-cebe-464c-b67b-8f28418c2bd2","2/6/2024 6:36:06 PM","areynol1@macalester.edu_MacGIS",NA,"No",8.95,"Red maple",NA,"Red maple","Acer rubrum",-93.169892417678,44.9391485235448
"26",28,"e5682c2f-95a8-4280-a047-c44affe3bec5","2/6/2024 6:37:29 PM","areynol1@macalester.edu_MacGIS",NA,"No",23.5,"Honey locust",NA,"Honey locust","Gleditsia triacanthos",-93.1697829013668,44.9391087823594
"27",29,"d25abf35-ce85-47ab-8e4d-d098a602b4ae","2/6/2024 6:39:53 PM","areynol1@macalester.edu_MacGIS",NA,"No",5.95,"White spruce",NA,"White spruce","Picea glauca",-93.1697408260755,44.9391478660459
"28",30,"b07788fc-6d27-450e-bf47-4a3583d2fa2c","2/20/2024 6:15:57 PM","areynol1@macalester.edu_MacGIS",NA,"No",10.65,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1696781353468,44.9392614555611
"29",31,"21bdaea6-2c66-4807-8b68-60ab8c04e0ec","2/20/2024 6:18:15 PM","areynol1@macalester.edu_MacGIS",NA,"No",12.81,"American elm",NA,"American elm","Ulmus americana",-93.1697055546242,44.9393809934768
"30",32,"03532a24-7a9f-4281-99d7-6a87b9d11b6c","2/20/2024 6:18:16 PM","alane3@macalester.edu_MacGIS",NA,"No",13.2,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1677953805973,44.9389189764555
"31",33,"7a18d4c9-c2d7-4685-abd4-2ca1c9c26282","2/20/2024 6:20:01 PM","areynol1@macalester.edu_MacGIS",NA,"No",11.11,"Red maple",NA,"Red maple","Acer rubrum",-93.1697079585159,44.939495524898
"32",34,"23742e01-5d0a-400d-90e2-286cf3f7af0b","2/20/2024 6:20:01 PM","alane3@macalester.edu_MacGIS",NA,"No",17.7,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1678133792424,44.9387365232832
"33",35,"14c86199-3eb6-4422-afcd-e6147223f176","2/20/2024 6:21:11 PM","areynol1@macalester.edu_MacGIS",NA,"No",7.84,"White spruce",NA,"White spruce","Picea glauca",-93.1697337787921,44.9394826770371
"34",36,"b7edfebb-68bb-4570-9c0e-cfc1368e232d","2/20/2024 6:21:31 PM","alane3@macalester.edu_MacGIS",NA,"No",10.2,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1677994832032,44.9385082895593
"35",37,"79388a1b-3f91-4cc0-9f8d-283fc24182fe","2/20/2024 6:22:05 PM","areynol1@macalester.edu_MacGIS",NA,"No",4.83,"White spruce",NA,"White spruce","Picea glauca",-93.1697606896231,44.9395054846113
